city name,name,slug,average_rating,total_rating,servescuisine,phone,pricerange,address_locality,country_short,country,region,address,postal_code,city,state,state_short,latitude,longitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,main_image,logo
tucson,Chick-fil-A®,189599,4.7,9,"American (New),Sandwich,Salads,Family Meals,Sandwiches,Lunch,Fast Food,Chicken,Breakfast",+1 (520) 321-4232,$,Tucson,US,United States Of America,AZ,3605 East Broadway Boulevard,85716,tucson,Arizona,AZ,32.2220837,-110.9158417,06:30-10:00,06:30-10:00,06:30-10:00,06:30-10:00,06:30-10:00,06:30-10:00,,tucson/images/189599/Chick-fil-A®_main.jpg,tucson/images/189599/Chick-fil-A®_logo.jpg
tucson,Riliberto's Fresh Mexican Food,207676,4.2,1,"Lunch,Sandwich,Breakfast,Fast Food,Mexican,Pickup,Takeout",+1 (520) 327-2327,$$,Tucson,US,United States Of America,AZ,4352 East Speedway Boulevard,85712,tucson,Arizona,AZ,32.2358732,-110.8997278,00:00-23:29,00:00-23:29,00:00-23:29,00:00-23:29,00:00-23:29,00:00-23:29,00:00-23:29,tucson/images/207676/Riliberto_sFreshMexicanFood_main.jpg,tucson/images/207676/Riliberto_sFreshMexicanFood_logo.jpg
tucson,The Cheesecake Factory,201756,4.6,1,"Dessert,Dinner,Sandwiches,Burgers,Italian,Salads,American (New),Catering,Breakfast,Healthy,Pickup,Takeout",+1 (520) 408-9324,$$,Tucson,US,United States Of America,AZ,60 West Wetmore Road,85705,tucson,Arizona,AZ,32.2877409,-110.9728121,,,,,,11:00-13:30,10:00-13:30,tucson/images/201756/TheCheesecakeFactory_main.jpg,tucson/images/201756/TheCheesecakeFactory_logo.jpg
tucson,McDonald's,654795,4.5,5,"Fried Chicken,Fast Food,Burgers,Breakfast,Ice Cream,American (New),Chicken,Dinner",+1 (520) 325-6361,$,Tucson,US,United States Of America,AZ,1711 East Speedway Boulevard,85719,tucson,Arizona,AZ,32.2364271,-110.9461696,04:00-10:29,04:00-10:29,04:00-10:29,04:00-10:29,04:00-10:29,04:00-10:29,04:00-10:29,tucson/images/654795/McDonald_s_main.jpg,tucson/images/654795/McDonald_s_logo.jpg
tucson,Chili's Grill & Bar,624594,4.4,5,"Dessert,Burgers,Chicken,Tex-Mex,Dinner,Bar and Grill,Mexican,Takeout,Pickup",+1 (520) 747-3330,$$,Tucson,US,United States Of America,AZ,5150 East Broadway Boulevard,85711,tucson,Arizona,AZ,32.2212623,-110.8820253,11:00-21:45,11:00-21:45,11:00-21:45,11:00-21:45,11:00-22:45,11:00-22:45,11:00-21:45,tucson/images/624594/Chili_sGrill&Bar_main.jpg,tucson/images/624594/Chili_sGrill&Bar_logo.jpg
tucson,It's Just Wings,1028342,4.4,3,"Chicken Wings,Fast Food,Dessert,Chicken,Desserts",+1 (469) 788-8187,$,Tucson,US,United States Of America,AZ,5150 East Broadway Boulevard,85711,tucson,Arizona,AZ,32.2212623,-110.8820253,11:00-21:45,11:00-21:45,11:00-21:45,11:00-21:45,11:00-22:45,11:00-22:45,11:00-21:45,tucson/images/1028342/It_sJustWings_main.jpg,tucson/images/1028342/It_sJustWings_logo.jpg
tucson,Chipotle,270760,4.5,5,"Vegan,Chicken,Gluten-Free,Vegetarian,Salads,Healthy,Lunch,Tacos,Mexican",+1 (520) 325-1261,$$,Tucson,US,United States Of America,AZ,3055 North Campbell Avenue,85719,tucson,Arizona,AZ,32.2623544,-110.9444698,10:45-21:30,10:45-21:30,10:45-21:30,10:45-21:30,10:45-21:30,10:45-21:30,10:45-21:30,tucson/images/270760/Chipotle_main.jpg,tucson/images/270760/Chipotle_logo.jpg
tucson,Fuku Sushi,171134,4.4,7,"Sushi Bars,Asian,Japanese,Sushi,Pickup,Takeout",+1 (520) 798-3858,$$,Tucson,US,United States Of America,AZ,940 East University Boulevard,85719,tucson,Arizona,AZ,32.2315605,-110.957306,11:00-23:29,11:00-23:29,11:00-23:29,11:00-23:29,11:00-23:29,11:00-23:29,11:00-23:29,tucson/images/171134/FukuSushi_main.jpg,tucson/images/171134/FukuSushi_logo.jpg
tucson,Jimmys Pita & Poke Bowl,307062,4.8,7,"Salads,Sandwiches,Poke,Healthy,Pickup,Takeout",+1 (520) 882-7482,$$,Tucson,US,United States Of America,AZ,845 East University Boulevard,85719,tucson,Arizona,AZ,32.2319918,-110.9584924,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,tucson/images/307062/JimmysPita&PokeBowl_main.jpg,tucson/images/307062/JimmysPita&PokeBowl_logo.jpg
tucson,Los Betos,784683,4.4,3,"Pickup,Takeout,Mexican,Lunch,Sandwich,Breakfast",+1 (520) 795-0000,$,Tucson,US,United States Of America,AZ,2910 East Speedway Boulevard,85716,tucson,Arizona,AZ,32.235746,-110.929035,,,,,00:00-23:29,00:00-23:29,00:30-23:29,tucson/images/784683/LosBetos_main.jpg,tucson/images/784683/LosBetos_logo.jpg
tucson,Cheba Hut,167133,4.7,1,"Sandwiches,Salads,Lunch,Dinner,Pickup,Takeout",+1 (520) 495-4719,$,Tucson,US,United States Of America,AZ,1820 East 6th Street,85719,tucson,Arizona,AZ,32.2275894,-110.944635,10:00-20:15,10:00-20:15,10:00-20:15,10:00-20:15,10:00-20:15,10:00-20:15,10:00-20:15,tucson/images/167133/ChebaHut_main.jpg,tucson/images/167133/ChebaHut_logo.jpg
